"loan_id","is_first_loan","fully_repaid_previous_loans","currently_repaying_other_loans","total_credit_card_limit","avg_percentage_credit_card_limit_used_last_year","saving_amount","checking_amount","is_employed","yearly_salary","age","dependent_number"
289774,1,NA,NA,8000,0.49,3285,1073,0,0,47,3
482590,0,1,0,4500,1.03,636,5299,1,13500,33,1
135565,1,NA,NA,6900,0.82,2085,3422,1,24500,38,8
207797,0,1,0,1200,0.82,358,3388,0,0,24,1
828078,0,0,0,6900,0.8,2138,4282,1,18100,36,1
423171,1,NA,NA,6100,0.53,6163,5298,1,29500,24,1
568977,1,NA,NA,600,0.89,305,1456,0,0,50,2
200139,1,NA,NA,4000,0.57,602,2757,1,31700,36,8
991294,0,1,0,7000,0.52,2575,2917,1,58900,33,3
875332,0,1,0,4300,0.83,722,892,1,5400,32,7
954215,1,NA,NA,7000,0.64,2113,5589,0,0,40,2
778076,1,NA,NA,4900,0.6,460,4297,1,26600,53,3
47565,1,NA,NA,0,NA,499,3547,1,25400,53,8
73441,0,1,0,3900,0.77,989,1547,1,45700,29,4
993419,0,1,0,6500,0.86,1430,5699,1,23900,20,2
614277,0,1,0,6500,0.82,1258,1148,0,0,39,1
249377,1,NA,NA,5500,0.59,1154,2731,1,9300,51,2
387504,0,1,0,5300,0.69,1172,3323,1,32500,30,1
26461,1,NA,NA,8600,0.62,4209,1474,0,0,59,1
895948,0,1,0,7300,0.61,3359,5724,0,0,61,8
561507,0,1,0,6700,0.36,1965,3836,1,39900,33,3
127290,1,NA,NA,0,NA,707,1285,1,39600,38,2
496672,1,NA,NA,4500,0.65,3981,2757,1,53800,35,1
873777,1,NA,NA,5100,0.3,4755,7206,1,43100,29,1
906171,0,0,1,1200,0.52,77,3167,0,0,24,4
580549,1,NA,NA,5700,0.49,903,3827,1,21600,64,1
349853,0,1,0,3900,0.77,1316,1423,0,0,34,2
347178,0,1,0,3700,0.78,1916,6138,1,6700,60,0
952711,1,NA,NA,2900,0.81,1411,494,0,0,45,8
597652,1,NA,NA,2500,0.72,1532,1955,0,0,24,2
236885,1,NA,NA,2900,1.04,1289,3017,0,0,46,2
277463,1,NA,NA,8000,0.47,3048,1795,1,52400,64,8
306731,1,NA,NA,2300,0.72,349,1454,0,0,36,3
5406,0,0,0,0,NA,1404,2749,0,0,41,1
352532,0,1,1,2400,0.8,227,2907,1,6200,43,8
443443,1,NA,NA,2000,0.44,275,3026,1,12700,63,6
770746,0,0,0,7400,0.48,2703,7475,0,0,37,3
892935,1,NA,NA,4500,0.71,5485,1954,1,42000,41,0
979250,1,NA,NA,3900,1.05,527,4768,0,0,40,2
378620,1,NA,NA,5900,0.84,1781,919,1,39300,39,3
216233,0,1,0,4100,0.99,2678,4146,1,67200,49,7
347825,0,1,0,0,NA,727,5374,1,33500,27,6
69571,0,1,1,2900,0.62,996,1508,1,9500,53,0
896361,1,NA,NA,0,NA,761,1307,0,0,18,2
69665,0,0,0,8300,0.55,1576,675,1,23300,21,8
666770,0,1,0,2700,0.97,4674,2525,1,19600,38,2
416066,1,NA,NA,7100,1.01,590,4199,1,40100,55,1
331569,1,NA,NA,1100,0.81,24,4919,1,28500,61,2
491237,0,1,1,4300,0.79,2135,1686,0,0,40,1
93216,1,NA,NA,6700,0.56,6520,909,1,45800,43,5
264983,0,1,0,5400,0.52,572,479,1,31400,47,8
576438,1,NA,NA,700,0.9,501,2573,1,27300,49,8
223013,0,1,0,6200,0.75,510,1105,1,5000,46,1
594632,0,1,1,3000,0.51,1054,248,1,29200,38,8
196917,0,1,0,9100,0.62,2738,4538,1,54400,63,3
329106,1,NA,NA,3900,0.56,4299,3063,1,29000,27,2
984714,0,1,0,8400,0.64,3375,4864,1,56200,35,3
813545,1,NA,NA,2000,0.5,2280,3337,1,14600,49,1
17908,1,NA,NA,1400,0.63,489,3528,1,70800,28,1
112895,1,NA,NA,4200,1.06,837,1991,0,0,57,5
161905,0,1,1,2800,0.7,537,3207,0,0,43,1
969483,0,1,0,6200,0.73,747,5139,1,63500,34,3
549969,0,1,1,3100,0.65,985,2461,1,16600,62,3
234705,0,1,0,4800,0.87,618,2473,1,31100,50,3
855791,1,NA,NA,2000,0.71,1546,1756,0,0,34,7
520296,1,NA,NA,4700,0.8,483,2083,1,37800,39,2
858386,1,NA,NA,6100,0.38,1398,1147,1,26900,34,2
759471,1,NA,NA,3000,0.53,4885,8286,1,47600,35,8
967245,0,1,0,4900,0.72,1745,6216,1,39100,46,3
799853,0,1,1,4700,0.69,707,1223,1,26800,26,2
639487,0,0,0,3900,0.78,3206,2375,0,0,49,4
26408,1,NA,NA,6100,0.52,1115,2080,0,0,40,1
300438,1,NA,NA,6500,0.75,5071,6000,1,37900,37,1
459627,1,NA,NA,8300,0.58,779,7507,1,5600,44,3
239329,1,NA,NA,5900,0.68,1323,5471,1,55900,33,1
993643,1,NA,NA,1700,0.92,2785,4372,1,13200,21,1
375612,0,0,0,7300,0.84,1181,5638,1,24700,40,2
992519,1,NA,NA,5600,0.91,272,1320,1,22300,38,3
626570,1,NA,NA,3200,0.77,380,1559,1,21900,32,8
820126,0,1,0,5700,0.93,2229,1826,1,72400,45,7
777974,1,NA,NA,3900,0.56,1206,2749,1,19000,21,4
389966,1,NA,NA,7300,0.89,745,1617,0,0,44,3
230582,1,NA,NA,2900,0.97,475,2100,1,12900,48,3
967660,0,1,0,4300,0.81,2368,4491,1,30900,41,1
933915,1,NA,NA,6700,0.8,1026,762,1,30300,42,8
480437,1,NA,NA,3000,1.03,1026,1325,0,0,18,8
634568,1,NA,NA,5500,0.5,504,1183,1,22700,26,2
221972,1,NA,NA,6500,0.8,1250,6682,1,54200,24,1
345793,1,NA,NA,2900,0.95,1072,4774,1,59800,51,7
463483,1,NA,NA,2200,0.75,999,2936,1,25700,52,2
272748,0,1,0,6500,1.03,1645,4744,1,18600,35,4
75828,1,NA,NA,6200,0.84,1652,1719,1,25600,20,2
516288,0,1,0,6400,0.88,3694,1744,1,47700,24,6
154171,0,1,0,3300,0.45,799,1511,0,0,44,1
239289,0,1,0,2600,0.87,1937,3554,1,33400,50,8
182687,1,NA,NA,6700,0.58,4350,4747,1,33300,45,0
800134,1,NA,NA,6300,0.74,653,2081,1,39400,51,8
912090,0,1,0,4500,0.39,5612,7074,1,32800,58,8
393510,0,0,0,4000,0.83,431,647,1,26400,24,3
970501,0,1,0,8000,0.75,779,5094,1,50000,40,0
75493,1,NA,NA,5900,0.77,702,1432,0,0,28,8
168290,1,NA,NA,5100,0.9,2720,1771,1,30600,42,5
413506,0,1,0,7300,0.98,2724,6099,1,32200,44,1
893125,1,NA,NA,8100,0.7,682,1787,1,14400,48,8
775136,0,1,0,7200,0.62,410,4485,1,47000,34,0
394195,0,1,0,5500,0.54,3497,7566,1,22800,29,2
443063,0,1,0,6800,0.98,94,4694,1,70400,45,0
459175,0,1,0,8100,0.69,541,3808,1,34800,61,2
468333,0,1,0,800,0.71,1130,631,0,0,31,1
833743,1,NA,NA,5800,0.82,216,1868,0,0,37,1
662523,0,1,0,4200,1.05,744,1828,1,15700,53,4
880848,0,1,0,5000,0.61,888,3079,1,35000,47,2
312417,0,1,0,5300,0.97,2602,4055,1,49300,56,4
79755,0,1,0,2200,0.95,1567,1923,1,31800,41,2
788302,0,1,0,2400,0.57,842,1985,0,0,40,6
940796,1,NA,NA,4600,0.49,2810,6755,1,50900,44,8
409681,1,NA,NA,4900,0.74,4072,2635,1,25200,56,2
713160,0,1,0,4200,0.68,65,3401,1,8400,52,7
937156,1,NA,NA,5000,0.77,2484,3197,1,44900,25,8
769138,1,NA,NA,1200,0.39,2075,7941,0,0,40,7
46605,0,1,0,9400,0.89,1117,3364,1,51000,20,3
356738,1,NA,NA,1100,0.75,592,2335,0,0,30,5
700330,1,NA,NA,2200,0.68,1043,1986,1,30200,56,8
262246,1,NA,NA,4000,0.79,1083,889,1,19400,31,6
50262,0,0,0,2900,1.05,1791,1291,1,43500,35,6
587884,1,NA,NA,6800,0.88,968,1853,1,13500,34,4
127114,1,NA,NA,0,NA,1004,2161,1,17100,29,2
200113,0,0,0,2500,1.02,882,7998,1,20000,48,1
156343,1,NA,NA,3500,0.95,580,1470,0,0,40,2
478944,1,NA,NA,4200,0.78,4749,10222,0,0,22,6
706804,1,NA,NA,6500,0.61,1638,1143,1,48900,51,2
147484,0,1,0,8300,0.68,1254,3514,0,0,32,3
844617,0,1,1,1000,1,1270,2219,0,0,43,1
113835,1,NA,NA,3100,0.68,4170,5822,1,15700,52,2
364171,0,1,0,3000,0.58,22,2168,1,47300,58,2
602556,1,NA,NA,8000,0.7,4402,9778,1,29300,40,8
393774,1,NA,NA,4300,0.62,612,1816,0,0,36,8
791394,0,1,0,5000,0.69,2097,8038,1,31900,32,4
502882,1,NA,NA,5500,0.79,789,4849,1,42200,55,2
962128,1,NA,NA,4100,0.92,5466,2982,1,49200,34,2
413354,1,NA,NA,4600,0.66,4767,5959,1,35100,63,8
981314,0,1,1,1400,0.7,553,1637,0,0,68,8
419242,1,NA,NA,8800,0.71,2907,7413,0,0,51,3
748201,1,NA,NA,3300,1.05,748,1900,0,0,44,2
685301,0,1,0,5100,0.55,861,883,1,26600,55,8
358332,1,NA,NA,4700,0.73,2139,2434,1,20800,34,2
361012,1,NA,NA,11400,0.56,1448,4982,1,36000,49,2
164039,0,1,0,5200,0.8,824,4320,1,34500,42,3
553219,1,NA,NA,4200,0.52,1128,1524,1,31700,27,3
179099,0,0,0,7200,0.9,716,2351,0,0,22,6
560497,1,NA,NA,3600,1.02,990,1076,1,36800,62,5
710416,1,NA,NA,5100,0.79,1396,4646,0,0,23,6
